date,trickster
2021-03-21,12
2021-03-28,7
2021-04-04,6
2021-04-11,4
2021-04-18,6
2021-04-25,5
2021-05-02,5
2021-05-09,5
2021-05-16,100
2021-05-23,61
2021-05-30,50
2021-06-06,24
2021-06-13,15
2021-06-20,12
2021-06-27,11
2021-07-04,10
2021-07-11,8
2021-07-18,11
2021-07-25,6
2021-08-01,7
2021-08-08,5
2021-08-15,5
2021-08-22,6
2021-08-29,5
2021-09-05,4
2021-09-12,11
2021-09-19,6
2021-09-26,5
2021-10-03,4
2021-10-10,3
2021-10-17,4
2021-10-24,3
2021-10-31,3
2021-11-07,4
2021-11-14,3
2021-11-21,3
2021-11-28,2
2021-12-05,4
2021-12-12,2
2021-12-19,4
2021-12-26,4
2022-01-02,2
2022-01-09,3
2022-01-16,4
2022-01-23,4
2022-01-30,4
2022-02-06,3
2022-02-13,5
2022-02-20,6
2022-02-27,4
2022-03-06,4
2022-03-13,6
